12	10	E	-6848865.330347113	200
probinit	1	1.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	3.779409434201037E-188
probinit	12	0.0
emissionprobs	5	2	H3k27me3	1	0.002143619830947697
emissionprobs	5	3	H3k36me3	0	0.9817295580733201
emissionprobs	5	3	H3k36me3	1	0.01827044192667992
emissionprobs	5	4	H3k4me1	0	0.6817979541401056
emissionprobs	5	4	H3k4me1	1	0.3182020458598945
emissionprobs	5	5	H3k4me2	0	0.18612312031254027
emissionprobs	5	5	H3k4me2	1	0.8138768796874598
emissionprobs	5	6	H3k4me3	0	0.008709564388342913
emissionprobs	5	6	H3k4me3	1	0.9912904356116571
emissionprobs	5	7	H3k79me2	0	0.42021263087009264
emissionprobs	5	7	H3k79me2	1	0.5797873691299075
emissionprobs	5	8	H3k9ac	0	0.07394632079165477
emissionprobs	5	8	H3k9ac	1	0.9260536792083452
emissionprobs	5	9	H3k9me1	0	0.9986147322137404
emissionprobs	5	9	H3k9me1	1	0.0013852677862595925
emissionprobs	6	0	H2az	0	0.5798787284112815
emissionprobs	6	0	H2az	1	0.4201212715887184
emissionprobs	6	1	H3k27ac	0	0.0049536661288349946
emissionprobs	6	1	H3k27ac	1	0.995046333871165
emissionprobs	6	2	H3k27me3	0	0.9999135907876545
emissionprobs	6	2	H3k27me3	1	8.640921234557318E-5
emissionprobs	6	3	H3k36me3	0	0.9843190879232064
emissionprobs	6	3	H3k36me3	1	0.0156809120767935
emissionprobs	6	4	H3k4me1	0	0.03305082297335786
emissionprobs	6	4	H3k4me1	1	0.9669491770266422
emissionprobs	6	5	H3k4me2	0	0.03624607560191025
emissionprobs	6	5	H3k4me2	1	0.9637539243980898
emissionprobs	6	6	H3k4me3	0	0.6185462796234393
emissionprobs	6	6	H3k4me3	1	0.38145372037656067
emissionprobs	6	7	H3k79me2	0	0.8572712289972512
emissionprobs	6	7	H3k79me2	1	0.1427287710027489
emissionprobs	6	8	H3k9ac	0	0.09846490967200061
emissionprobs	6	8	H3k9ac	1	0.9015350903279994
emissionprobs	6	9	H3k9me1	0	0.9946035687802772
emissionprobs	6	9	H3k9me1	1	0.005396431219722865
emissionprobs	7	0	H2az	0	0.6533904862167987
emissionprobs	7	0	H2az	1	0.34660951378320115
emissionprobs	7	1	H3k27ac	0	0.30361501150670434
emissionprobs	7	1	H3k27ac	1	0.6963849884932958
emissionprobs	7	2	H3k27me3	0	0.9995562644983822
emissionprobs	7	2	H3k27me3	1	4.4373550161789897E-4
emissionprobs	7	3	H3k36me3	0	0.9852618616955303
emissionprobs	7	3	H3k36me3	1	0.014738138304469645
emissionprobs	7	4	H3k4me1	0	0.04736243181871256
emissionprobs	7	4	H3k4me1	1	0.9526375681812875
emissionprobs	7	5	H3k4me2	0	0.3658321861097214
emissionprobs	7	5	H3k4me2	1	0.6341678138902785
emissionprobs	7	6	H3k4me3	0	0.9707911838688279
emissionprobs	7	6	H3k4me3	1	0.02920881613117199
emissionprobs	7	7	H3k79me2	0	0.9893706125632062
emissionprobs	7	7	H3k79me2	1	0.010629387436793793
emissionprobs	7	8	H3k9ac	0	0.8138204676310898
emissionprobs	7	8	H3k9ac	1	0.1861795323689103
emissionprobs	7	9	H3k9me1	0	0.9932195561865675
emissionprobs	7	9	H3k9me1	1	0.0067804438134325155
emissionprobs	8	0	H2az	0	0.9066447238726834
emissionprobs	8	0	H2az	1	0.09335527612731666
emissionprobs	8	1	H3k27ac	0	0.9026249198818853
emissionprobs	8	1	H3k27ac	1	0.09737508011811462
emissionprobs	8	2	H3k27me3	0	0.997716816659865
emissionprobs	8	2	H3k27me3	1	0.002283183340135048
emissionprobs	8	3	H3k36me3	0	0.9832109458072494
emissionprobs	8	3	H3k36me3	1	0.016789054192750612
emissionprobs	8	4	H3k4me1	0	0.3261381856374231
emissionprobs	8	4	H3k4me1	1	0.673861814362577
emissionprobs	8	5	H3k4me2	0	0.8957003744479242
emissionprobs	8	5	H3k4me2	1	0.10429962555207585
emissionprobs	8	6	H3k4me3	0	1.0
emissionprobs	8	6	H3k4me3	1	3.413813942396462E-23
emissionprobs	8	7	H3k79me2	0	0.9874074942074577
emissionprobs	8	7	H3k79me2	1	0.012592505792542362
emissionprobs	8	8	H3k9ac	0	0.995589308861388
emissionprobs	8	8	H3k9ac	1	0.004410691138612022
emissionprobs	8	9	H3k9me1	0	0.993275548284437
emissionprobs	8	9	H3k9me1	1	0.006724451715562943
emissionprobs	9	0	H2az	0	0.9801248373420893
emissionprobs	9	0	H2az	1	0.019875162657910693
emissionprobs	9	1	H3k27ac	0	0.6900933083860432
emissionprobs	9	1	H3k27ac	1	0.3099066916139568
emissionprobs	9	2	H3k27me3	0	0.9998212106039306
emissionprobs	9	2	H3k27me3	1	1.7878939606938836E-4
emissionprobs	9	3	H3k36me3	0	0.8444083349362682
emissionprobs	9	3	H3k36me3	1	0.15559166506373173
emissionprobs	9	4	H3k4me1	0	0.14233619588878263
emissionprobs	9	4	H3k4me1	1	0.8576638041112173
emissionprobs	9	5	H3k4me2	0	0.5186199369467767
emissionprobs	9	5	H3k4me2	1	0.48138006305322334
emissionprobs	9	6	H3k4me3	0	0.8673709420875262
emissionprobs	9	6	H3k4me3	1	0.13262905791247376
emissionprobs	9	7	H3k79me2	0	0.13126374019220874
emissionprobs	9	7	H3k79me2	1	0.8687362598077913
emissionprobs	9	8	H3k9ac	0	0.9098928182698228
emissionprobs	9	8	H3k9ac	1	0.09010718173017718
emissionprobs	9	9	H3k9me1	0	0.9728317868502754
emissionprobs	9	9	H3k9me1	1	0.02716821314972458
emissionprobs	10	0	H2az	0	0.9989715253328779
emissionprobs	10	0	H2az	1	0.0010284746671220728
emissionprobs	10	1	H3k27ac	0	0.9874864559683
emissionprobs	10	1	H3k27ac	1	0.012513544031699998
emissionprobs	10	2	H3k27me3	0	0.99982579966364
emissionprobs	10	2	H3k27me3	1	1.742003363599753E-4
emissionprobs	10	3	H3k36me3	0	0.8953849420894939
emissionprobs	10	3	H3k36me3	1	0.10461505791050618
emissionprobs	10	4	H3k4me1	0	0.9691779065142753
emissionprobs	10	4	H3k4me1	1	0.030822093485724726
emissionprobs	10	5	H3k4me2	0	0.995557687976848
emissionprobs	10	5	H3k4me2	1	0.004442312023152011
emissionprobs	10	6	H3k4me3	0	0.9998108234095815
emissionprobs	10	6	H3k4me3	1	1.8917659041850228E-4
emissionprobs	10	7	H3k79me2	0	0.3120401064892018
emissionprobs	10	7	H3k79me2	1	0.6879598935107982
emissionprobs	10	8	H3k9ac	0	0.9987204793913054
emissionprobs	10	8	H3k9ac	1	0.0012795206086946025
emissionprobs	10	9	H3k9me1	0	0.985909191836043
emissionprobs	10	9	H3k9me1	1	0.014090808163957042
emissionprobs	11	0	H2az	0	0.9973935966865658
emissionprobs	11	0	H2az	1	0.0026064033134341404
emissionprobs	11	1	H3k27ac	0	0.9953407734722252
emissionprobs	11	1	H3k27ac	1	0.0046592265277748445
emissionprobs	11	2	H3k27me3	0	0.9998594889926122
emissionprobs	11	2	H3k27me3	1	1.405110073878409E-4
emissionprobs	11	3	H3k36me3	0	0.9783769976947592
emissionprobs	11	3	H3k36me3	1	0.02162300230524078
emissionprobs	11	4	H3k4me1	0	0.9991211982791994
emissionprobs	11	4	H3k4me1	1	8.788017208006327E-4
emissionprobs	11	5	H3k4me2	0	0.9997470354768184
emissionprobs	11	5	H3k4me2	1	2.5296452318159267E-4
emissionprobs	11	6	H3k4me3	0	0.9998932429069858
emissionprobs	11	6	H3k4me3	1	1.067570930141891E-4
emissionprobs	11	7	H3k79me2	0	0.9840503786252659
emissionprobs	11	7	H3k79me2	1	0.015949621374734112
emissionprobs	11	8	H3k9ac	0	0.9994797843598285
emissionprobs	11	8	H3k9ac	1	5.202156401714535E-4
emissionprobs	11	9	H3k9me1	0	0.9949180251581593
emissionprobs	11	9	H3k9me1	1	0.0050819748418407295
emissionprobs	12	0	H2az	0	0.9993673810355617
emissionprobs	12	0	H2az	1	6.32618964438355E-4
emissionprobs	12	1	H3k27ac	0	0.9868478849201466
emissionprobs	12	1	H3k27ac	1	0.013152115079853323
emissionprobs	12	2	H3k27me3	0	0.9979981059746277
emissionprobs	12	2	H3k27me3	1	0.002001894025372361
emissionprobs	12	3	H3k36me3	0	0.6146411360339793
emissionprobs	12	3	H3k36me3	1	0.38535886396602065
emissionprobs	12	4	H3k4me1	0	0.9931313623235593
emissionprobs	12	4	H3k4me1	1	0.006868637676440788
emissionprobs	12	5	H3k4me2	0	0.999264931615491
emissionprobs	12	5	H3k4me2	1	7.350683845089946E-4
emissionprobs	12	6	H3k4me3	0	0.9992369471535811
emissionprobs	12	6	H3k4me3	1	7.630528464189354E-4
emissionprobs	12	7	H3k79me2	0	0.9575101361736621
emissionprobs	12	7	H3k79me2	1	0.042489863826337904
emissionprobs	12	8	H3k9ac	0	0.9986976519029437
emissionprobs	12	8	H3k9ac	1	0.0013023480970564022
emissionprobs	12	9	H3k9me1	0	0.9925846872795265
emissionprobs	12	9	H3k9me1	1	0.007415312720473527
